update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
780,599040,0.0002820506912442396,490.5,0.67,1.622733,89.29,7201,-0.007937,0.019583,2.933656,0.004832,0.05484,0.180228,0.377904,-0.183492,1.955501,1.908808,1.030575,1.016961,0.753493,0.0
790,606720,0.00028182027649769584,490.7,0.69,1.677129,92.59,7284,-0.008116,0.013109,2.891366,0.005911,0.070007,0.735683,0.087997,0.734203,1.957998,1.872238,0.990668,1.001632,0.843518,0.0
800,614400,0.00028158986175115205,491.0,0.78,1.755992,75.92,7384,-0.008745,0.00658,2.899865,0.0064,0.077728,0.617573,0.274351,0.702139,1.937785,1.878888,0.991799,0.99785,0.733023,0.0
810,622080,0.0002813594470046083,491.0,0.74,1.678354,78.01,7479,-0.008048,0.004828,2.96051,0.005076,0.059479,0.904283,0.027022,0.909824,2.010588,1.92915,1.00689,1.022043,0.579042,0.0
820,629760,0.0002811290322580645,491.1,0.76,1.723802,87.4,7571,-0.008225,0.017588,2.915487,0.005749,0.067993,0.778725,0.237626,0.715505,1.847002,1.888993,1.001898,1.021395,0.582813,0.0
830,637440,0.0002808986175115207,491.3,0.79,1.747602,76.89,7670,-0.009127,0.024568,2.843988,0.005666,0.071838,0.47175,0.207774,0.390748,1.911541,1.858439,0.982038,0.981147,0.332411,0.0
840,645120,0.00028066820276497693,491.5,0.74,1.737832,76.44,7772,-0.008856,0.015954,2.831205,0.005771,0.075226,0.558732,0.266716,0.419435,1.855263,1.848954,0.975552,0.983772,0.482763,0.0
850,652800,0.00028043778801843314,491.7,0.71,1.658398,95.64,7849,-0.009112,0.004628,2.810381,0.00583,0.072418,0.944203,0.004094,0.954437,1.876563,1.838652,0.972968,0.970602,0.303052,0.0
860,660480,0.00028020737327188935,491.8,0.65,1.572514,81.06,7946,-0.007968,0.0284,2.805192,0.006059,0.075134,0.555535,0.235144,0.419778,1.857635,1.811563,1.004713,0.994289,0.335291,0.0
870,668160,0.0002799769585253456,492.0,0.67,1.570741,93.02,8026,-0.010104,0.018584,2.764527,0.006702,0.09024,0.652076,0.070207,0.642946,1.860251,1.800678,0.95188,0.953753,0.692723,0.0
880,675840,0.0002797465437788018,492.2,0.75,1.673106,81.28,8119,-0.009332,0.003504,2.700842,0.005539,0.068756,0.940106,0.164832,0.933717,1.814168,1.741862,0.981301,0.951223,0.467857,0.0
890,683520,0.0002795161290322581,492.4,0.79,1.779212,78.59,8219,-0.008857,0.009305,2.730668,0.005765,0.074585,0.439686,0.256396,0.52567,1.826816,1.777007,0.955003,0.950262,0.386567,0.0
900,691200,0.0002792857142857143,492.5,0.86,1.829546,71.97,8328,-0.008964,0.015373,2.782501,0.006239,0.080475,0.544994,0.291356,0.389615,1.820255,1.822864,0.930883,0.951786,0.625173,0.0
910,698880,0.0002790552995391705,492.4,0.76,1.738611,71.66,8435,-0.007945,0.010665,2.809437,0.00525,0.067169,0.598953,0.441875,0.361602,1.870973,1.847404,0.873776,0.963064,0.535766,0.0
920,706560,0.0002788248847926267,492.6,0.78,1.767601,83.29,8528,-0.008894,0.015024,2.838722,0.006923,0.089325,0.524835,0.378294,0.279255,1.88497,1.856248,0.963413,0.976062,0.592081,0.0
930,714240,0.0002785944700460829,492.8,0.74,1.745773,93.19,8607,-0.0098,0.014882,2.875202,0.00665,0.08432,0.399402,0.185869,0.492753,1.823841,1.872642,0.915477,0.980149,0.695363,0.0
940,721920,0.0002783640552995391,493.0,0.73,1.668302,93.84,8686,-0.007939,0.009168,2.786986,0.005712,0.067932,0.712511,0.119754,0.738145,1.806867,1.807063,0.936715,0.977911,0.66706,0.0
950,729600,0.00027813364055299537,493.2,0.84,1.841434,77.14,8788,-0.00883,0.015655,2.797021,0.006841,0.097931,0.461287,0.481251,0.049404,1.736167,1.804979,0.976725,0.984226,0.411361,0.0
960,737280,0.0002779032258064516,493.3,0.71,1.685043,69.84,8895,-0.009075,0.02615,2.848137,0.005192,0.058411,0.490201,0.137468,0.432673,1.795832,1.83185,1.007707,0.999412,0.627613,0.0
970,744960,0.00027767281105990784,493.5,0.71,1.677118,77.45,8994,-0.00709,0.04237,2.861193,0.004561,0.045929,0.316117,0.227611,0.180228,1.845643,1.867187,1.027004,0.984733,0.517439,0.0
980,752640,0.00027744239631336405,493.6,0.75,1.718744,78.4,9093,-0.007981,0.01732,2.798549,0.005599,0.066193,0.498383,0.249422,0.429991,1.8286,1.834444,0.989723,0.961057,0.480569,0.0
990,760320,0.00027721198156682025,493.8,0.72,1.654578,64.11,9208,-0.009567,0.003262,2.83358,0.006416,0.080566,0.764033,0.637836,0.64707,1.799502,1.833503,1.007995,0.989211,0.390184,0.0
1000,768000,0.00027698156682027646,493.9,0.76,1.75066,66.95,9321,-0.008803,0.013344,2.866724,0.006574,0.088959,0.476888,0.225136,0.527306,1.864602,1.901173,0.991081,0.979371,0.487795,0.0
1010,775680,0.00027675115207373267,493.8,0.76,1.753556,75.17,9422,-0.009814,0.029774,2.860584,0.006343,0.088654,0.410043,0.287676,0.181911,1.828956,1.885435,0.991719,0.975433,0.47038,0.0
1020,783360,0.0002765207373271889,494.0,0.73,1.731272,74.99,9524,-0.007303,0.031647,2.842753,0.00507,0.054962,0.412007,0.193634,0.293656,1.847743,1.860523,0.993892,0.976974,0.593859,0.0
1030,791040,0.00027629032258064514,494.1,0.75,1.69857,67.98,9632,-0.00993,0.021386,2.814524,0.006868,0.094666,0.523557,0.418426,0.191542,1.792824,1.841036,0.993979,0.959537,0.627045,0.0
1040,798720,0.00027605990783410134,494.2,0.74,1.713368,87.34,9715,-0.00963,0.013528,2.831082,0.007478,0.105011,0.62139,0.333495,0.434854,1.903791,1.891526,0.970556,0.926347,0.6927,0.0
1050,806400,0.0002758294930875576,494.3,0.67,1.628555,84.37,9807,-0.010529,0.018726,2.865442,0.006767,0.085052,0.564694,0.185067,0.507482,1.908156,1.894826,0.988884,0.964158,0.567158,0.0
1060,814080,0.0002755990783410138,494.4,0.77,1.75933,85.93,9896,-0.009551,0.02308,2.806573,0.006599,0.082275,0.364329,0.151939,0.302018,1.887775,1.836312,1.00033,0.957756,0.542393,0.0
1070,821760,0.00027536866359447,494.6,0.74,1.697136,86.81,9984,-0.008496,0.008136,2.833258,0.005789,0.072632,0.755476,0.299727,0.672596,1.928505,1.866365,0.978162,0.955708,0.611825,0.0
1080,829440,0.00027513824884792623,494.7,0.71,1.672371,97.5,10060,-0.009735,0.016022,2.852653,0.005593,0.068604,0.631256,0.085909,0.641358,1.924503,1.888561,1.008895,0.961731,0.472416,0.0
1090,837120,0.00027490783410138243,494.8,0.64,1.579075,73.62,10163,-0.00807,0.009853,2.891741,0.005552,0.066803,0.782134,0.102539,0.795978,1.927184,1.88,1.009327,0.995222,0.548027,0.0
1100,844800,0.00027467741935483864,494.9,0.79,1.770675,69.22,10276,-0.009102,0.006362,2.846145,0.006263,0.076172,0.566207,0.241819,0.600084,1.827276,1.823929,1.005458,1.00596,0.592688,0.0
1110,852480,0.0002744470046082949,494.9,0.71,1.683089,68.97,10391,-0.00777,0.047362,2.842089,0.00585,0.069183,0.220113,0.230489,0.054891,1.808481,1.820491,1.032653,1.016579,0.637659,0.0
1120,860160,0.0002742165898617511,494.9,0.71,1.649568,64.28,10514,-0.009555,0.019642,2.915614,0.007257,0.101044,0.44154,0.095356,0.431123,1.948393,1.900957,1.008602,1.011875,0.412049,0.0
1130,867840,0.00027398617511520737,495.1,0.82,1.859494,81.49,10610,-0.009165,0.008958,2.887528,0.007374,0.093353,0.45448,0.42911,0.251372,1.890447,1.873394,1.001433,1.007244,0.420548,0.0
1140,875520,0.0002737557603686636,495.2,0.73,1.640381,69.66,10718,-0.007445,0.009415,2.844688,0.00588,0.073273,0.67707,0.058354,0.697392,1.871175,1.836423,1.044514,1.002799,0.349707,0.0
1150,883200,0.0002735253456221198,495.3,0.83,1.834479,67.41,10830,-0.007664,0.009011,2.836023,0.005789,0.07608,0.660179,0.438049,0.446869,1.848158,1.82233,1.035145,1.02189,0.449389,0.0
1160,890880,0.000273294930875576,495.3,0.72,1.712167,67.48,10947,-0.009031,0.024597,2.856703,0.005582,0.066742,0.258389,0.263053,0.092635,1.830254,1.826358,1.04172,1.032885,0.265494,0.0
1170,898560,0.0002730645161290322,495.4,0.7,1.677056,69.57,11054,-0.009038,0.022238,2.886394,0.005256,0.057129,0.581214,0.392156,0.312868,1.849094,1.866471,1.043896,1.022095,0.236752,0.0
