update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
550,422400,0.0002873502304147465,510.7,0.08,0.959799,59.51,7005,-0.008302,0.00782,2.571081,0.00692,0.095978,0.813817,0.776575,0.16673,1.723304,1.726237,0.904511,0.839423,1.040813,0.0
560,430080,0.00028711981566820275,510.8,0.06,0.927774,54.84,7135,-0.007899,0.008247,2.633137,0.005674,0.070892,0.789541,0.800464,-0.043782,1.802038,1.778085,0.889363,0.84238,1.194733,0.0
570,437760,0.00028688940092165896,510.8,0.02,0.864711,60.98,7260,-0.010058,0.002621,2.598031,0.006284,0.085541,0.93383,0.952158,-0.360867,1.849353,1.784808,0.904559,0.807099,1.097115,0.0
580,445440,0.00028665898617511517,510.9,0.04,0.881072,79.69,7354,-0.00847,0.002067,2.645006,0.006108,0.07428,0.962916,0.921768,0.525989,1.751496,1.780658,0.837638,0.843457,1.167478,0.0
590,453120,0.00028642857142857143,511.1,0.02,0.869643,77.27,7455,-0.009993,0.001924,2.65323,0.006197,0.080078,0.96125,0.952235,0.203581,1.835329,1.797562,0.883037,0.84953,1.226042,0.0
600,460800,0.00028619815668202764,511.1,0.05,0.888802,72.39,7562,-0.00722,0.013015,2.651544,0.004894,0.057922,0.707173,0.605199,0.301521,1.82562,1.80543,0.861198,0.832424,1.119184,0.0
610,468480,0.00028596774193548384,511.0,0.02,0.879283,74.17,7661,-0.009418,0.002515,2.707047,0.006015,0.077698,0.951508,0.957609,-0.139586,1.849478,1.822648,0.888801,0.885271,0.975593,0.0
620,476160,0.00028573732718894005,511.0,0.07,0.928501,75.78,7764,-0.007889,0.013534,2.768572,0.00582,0.071228,0.687426,0.606052,0.292187,1.874168,1.834165,0.936408,0.922593,1.187606,0.0
630,483840,0.0002855069124423963,511.1,0.12,0.998955,76.42,7862,-0.007885,0.006482,2.70893,0.005717,0.072845,0.871826,0.772035,0.439013,1.880004,1.796009,0.92342,0.902113,1.313433,0.0
640,491520,0.0002852764976958525,511.1,0.1,0.998811,77.69,7961,-0.008068,0.007356,2.717629,0.005894,0.077576,0.824413,0.751695,0.29288,1.853,1.782552,0.904017,0.930108,1.090354,0.0
650,499200,0.0002850460829493087,511.1,0.06,0.867696,74.26,8068,-0.007463,0.008862,2.696818,0.006428,0.086884,0.823536,0.784452,0.242847,1.83318,1.746196,0.939909,0.947808,0.969545,0.0
660,506880,0.00028481566820276493,511.1,0.06,0.947474,79.54,8161,-0.00764,0.013632,2.691524,0.00565,0.07077,0.684045,0.632187,0.225977,1.867214,1.756753,0.958773,0.933987,1.140023,0.0
670,514560,0.0002845852534562212,511.2,0.07,0.935888,81.75,8248,-0.006112,0.007945,2.682208,0.00563,0.070435,0.784894,0.698201,0.384831,1.816342,1.753229,0.946338,0.92642,0.961769,0.0
680,522240,0.0002843548387096774,511.3,0.04,0.88787,95.26,8330,-0.007374,0.001203,2.68711,0.005117,0.059021,0.966395,0.911159,0.622129,1.776094,1.719341,0.898948,0.945634,1.188478,0.0
690,529920,0.0002841244239631336,511.3,0.07,0.913265,77.72,8428,-0.00716,0.009165,2.603528,0.005739,0.073395,0.70408,0.483591,0.467403,1.750348,1.674081,0.926501,0.925054,1.013986,0.0
700,537600,0.0002838940092165898,511.4,0.09,0.95438,83.87,8517,-0.007228,0.00556,2.606494,0.00589,0.072601,0.852759,0.677278,0.549542,1.780159,1.690072,0.951395,0.91223,1.010684,0.0
710,545280,0.0002836635944700461,511.2,0.04,0.917321,71.47,8621,-0.009593,0.002264,2.573635,0.007486,0.103668,0.947574,0.951291,-0.076093,1.700484,1.64221,0.962432,0.934557,0.846952,0.0
720,552960,0.0002834331797235023,511.2,0.1,0.989148,87.73,8711,-0.007717,0.011336,2.597746,0.004784,0.054474,0.718087,0.636784,0.281042,1.707701,1.626075,0.967572,0.969751,0.845995,0.0
730,560640,0.0002832027649769585,511.3,0.1,0.952503,87.03,8799,-0.008594,0.012517,2.651608,0.007023,0.096375,0.801224,0.692376,0.356758,1.720168,1.669477,0.963331,0.968884,1.059883,0.0
740,568320,0.00028297235023041475,511.4,0.08,0.959892,86.73,8888,-0.009427,0.002004,2.683384,0.006691,0.092316,0.96122,0.94393,0.31666,1.723866,1.718299,0.961907,0.957783,0.894857,0.0
750,576000,0.00028274193548387096,511.4,0.08,0.995213,94.77,8974,-0.007319,0.010301,2.679747,0.005508,0.064087,0.772889,0.594497,0.470178,1.692615,1.721746,0.961217,0.938726,1.039444,0.0
760,583680,0.00028251152073732717,511.5,0.11,0.954847,84.37,9059,-0.009795,0.004468,2.588573,0.006112,0.08075,0.88069,0.616992,0.701775,1.652887,1.683242,0.971955,0.896881,0.985812,0.0
770,591360,0.0002822811059907834,511.6,0.06,0.909855,89.93,9148,-0.008762,0.002327,2.63889,0.005606,0.066071,0.949831,0.932278,0.264709,1.751546,1.703679,0.973154,0.933321,0.940053,0.0
780,599040,0.0002820506912442396,511.6,0.19,1.080655,75.56,9246,-0.006693,0.007243,2.624088,0.005198,0.057861,0.821188,0.613144,0.585136,1.761657,1.72825,0.921631,0.891375,0.933874,0.0
790,606720,0.00028182027649769584,511.5,0.16,1.016481,79.1,9342,-0.00763,0.012676,2.650403,0.006057,0.073517,0.641668,0.392514,0.482516,1.788496,1.743345,0.915145,0.909594,0.731541,0.0
800,614400,0.00028158986175115205,511.6,0.11,1.002645,79.45,9442,-0.009254,0.00398,2.554997,0.005101,0.055237,0.936316,0.903827,0.341736,1.749707,1.679721,0.88751,0.873745,0.747554,0.0
810,622080,0.0002813594470046083,511.4,0.16,1.069277,75.13,9537,-0.010263,0.005611,2.506829,0.006269,0.084747,0.877074,0.734953,0.543154,1.670098,1.606738,0.917608,0.887471,0.675513,0.0
820,629760,0.0002811290322580645,511.4,0.13,1.010812,76.65,9639,-0.009384,0.004591,2.608223,0.005802,0.073608,0.884294,0.883106,0.031231,1.753499,1.669272,0.936955,0.932607,0.603753,0.0
830,637440,0.0002808986175115207,511.3,0.18,1.092992,79.58,9737,-0.008532,0.02063,2.545814,0.005635,0.071991,0.593287,0.436486,0.353085,1.58957,1.62261,0.917125,0.915018,0.578615,0.0
840,645120,0.00028066820276497693,511.3,0.14,1.008909,68.97,9846,-0.007776,0.014708,2.592923,0.005675,0.072479,0.704829,0.51648,0.430257,1.644582,1.668337,0.916786,0.920865,0.697767,0.0
850,652800,0.00028043778801843314,511.4,0.16,1.050284,78.81,9945,-0.007175,0.00823,2.556805,0.005051,0.060913,0.883125,0.222803,0.85547,1.556621,1.628935,0.92856,0.932372,0.506905,0.0
860,660480,0.00028020737327188935,511.3,0.23,1.124964,75.15,10043,-0.009311,0.00676,2.567625,0.005511,0.066132,0.840916,0.699184,0.471247,1.698578,1.646377,0.884221,0.906665,0.546276,0.0
870,668160,0.0002799769585253456,511.4,0.13,1.031687,74.41,10148,-0.008548,0.014899,2.614436,0.00501,0.059479,0.768315,0.538771,0.527323,1.690749,1.675409,0.904436,0.941859,0.873652,0.0
880,675840,0.0002797465437788018,511.3,0.1,0.961748,70.53,10255,-0.008461,0.005299,2.649611,0.005844,0.069672,0.857239,0.768615,0.492352,1.701179,1.715427,0.869203,0.942525,0.638163,0.0
890,683520,0.0002795161290322581,511.3,0.08,0.946128,70.11,10366,-0.010707,0.005233,2.632642,0.006742,0.08847,0.880043,0.84347,0.276674,1.715606,1.707078,0.863011,0.921577,0.684754,0.0
900,691200,0.0002792857142857143,511.3,0.07,0.942244,83.99,10455,-0.008575,0.001765,2.667541,0.004994,0.057129,0.951472,0.932189,0.288916,1.665653,1.72233,0.854274,0.940713,0.711957,0.0
910,698880,0.0002790552995391705,511.2,0.07,0.877117,77.07,10553,-0.008238,0.006918,2.619269,0.006277,0.077515,0.785256,0.62002,0.551144,1.663677,1.691746,0.878135,0.914971,0.74284,0.0
920,706560,0.0002788248847926267,511.2,0.09,0.947143,81.07,10646,-0.010235,0.007678,2.637828,0.007032,0.096832,0.771138,0.494517,0.619965,1.643126,1.708234,0.859931,0.927857,0.583437,0.0
930,714240,0.0002785944700460829,511.2,0.12,1.016822,82.75,10742,-0.010708,0.007261,2.64447,0.007093,0.101471,0.865575,0.661794,0.609985,1.713088,1.69719,0.869955,0.936904,0.67787,0.0
940,721920,0.0002783640552995391,511.2,0.12,0.990248,84.54,10834,-0.008618,0.008521,2.648021,0.00572,0.067047,0.865396,0.723684,0.515213,1.677148,1.711982,0.847433,0.931902,0.573711,0.0
950,729600,0.00027813364055299537,511.3,0.04,0.913746,79.7,10927,-0.008631,0.006476,2.686107,0.006487,0.08197,0.868427,0.673209,0.598811,1.706063,1.725428,0.879976,0.95465,0.647433,0.0
960,737280,0.0002779032258064516,511.3,0.07,0.978863,74.78,11032,-0.008066,0.006545,2.761275,0.006088,0.078613,0.854099,0.638078,0.628079,1.690259,1.786429,0.893364,0.980158,0.660502,0.0
970,744960,0.00027767281105990784,511.3,0.07,0.942845,83.94,11123,-0.008002,0.010372,2.73302,0.005928,0.068481,0.734395,0.69105,0.160183,1.746601,1.780064,0.901952,0.94836,0.783405,0.0
980,752640,0.00027744239631336405,511.3,0.08,0.939584,70.8,11235,-0.009384,0.002763,2.762298,0.005437,0.064545,0.913617,0.746909,0.659757,1.753393,1.790458,0.88793,0.963312,0.508389,0.0
990,760320,0.00027721198156682025,511.3,0.14,1.022911,75.93,11335,-0.007821,0.013664,2.747814,0.005779,0.068756,0.632803,0.473854,0.48668,1.787916,1.79529,0.936077,0.94017,0.598379,0.0
1000,768000,0.00027698156682027646,511.3,0.11,1.049063,69.56,11449,-0.008942,0.017499,2.767784,0.005585,0.067444,0.743512,0.610837,0.395522,1.777536,1.797032,0.951846,0.962148,0.512695,0.0
1010,775680,0.00027675115207373267,511.1,0.07,0.954805,62.44,11572,-0.008965,0.004008,2.742328,0.005569,0.068298,0.902424,0.891037,0.139047,1.711546,1.778314,0.916816,0.953462,0.454583,0.0
1020,783360,0.0002765207373271889,511.1,0.1,1.01567,61.76,11692,-0.009306,0.006712,2.767109,0.00605,0.077942,0.844641,0.80456,0.223764,1.699315,1.789621,0.955445,0.975709,0.597126,0.0
1030,791040,0.00027629032258064514,511.0,0.1,0.958915,62.1,11814,-0.00825,0.010286,2.785819,0.006319,0.08136,0.738498,0.547442,0.429899,1.763514,1.798685,0.94759,0.974689,0.629531,0.0
1040,798720,0.00027605990783410134,511.1,0.11,1.020092,67.28,11923,-0.009953,0.004617,2.760961,0.005987,0.081696,0.877241,0.707613,0.627548,1.647522,1.76572,0.943446,0.989791,0.430938,0.0
1050,806400,0.0002758294930875576,511.0,0.11,0.970089,66.18,12039,-0.009372,0.0036,2.777099,0.005726,0.067139,0.929932,0.841863,0.557375,1.669771,1.797901,0.924247,0.97625,0.396918,0.0
1060,814080,0.0002755990783410138,511.0,0.14,1.03823,67.74,12149,-0.010676,0.00242,2.776636,0.006141,0.072235,0.938525,0.83015,0.650627,1.640472,1.818265,0.895241,0.957348,0.423601,0.0
1070,821760,0.00027536866359447,511.1,0.09,0.945603,69.31,12260,-0.007817,0.007683,2.689777,0.005135,0.060577,0.868923,0.731176,0.518743,1.583801,1.73371,0.902054,0.953998,0.36512,0.0
1080,829440,0.00027513824884792623,511.1,0.19,1.109125,64.62,12380,-0.009891,0.019564,2.676712,0.005978,0.077545,0.644423,0.31988,0.529719,1.637123,1.765978,0.915418,0.913,0.416121,0.0
1090,837120,0.00027490783410138243,511.1,0.13,1.049151,73.25,12485,-0.00941,0.016846,2.733715,0.005507,0.067535,0.607554,0.392566,0.435612,1.677091,1.788491,0.889246,0.942045,0.361584,0.0
1100,844800,0.00027467741935483864,511.1,0.08,0.943899,80.95,12576,-0.009249,0.0024,2.677644,0.005307,0.060913,0.949347,0.910248,0.444785,1.638285,1.755077,0.895539,0.924048,0.421863,0.0
1110,852480,0.0002744470046082949,510.9,0.1,1.010354,66.27,12694,-0.0082,0.018898,2.713633,0.004747,0.046356,0.530101,0.199592,0.61954,1.719216,1.750312,0.950631,0.956395,0.444559,0.0
1120,860160,0.0002742165898617511,511.0,0.16,1.034495,70.93,12801,-0.009472,0.003882,2.635019,0.005721,0.073608,0.896049,0.778107,0.591121,1.558852,1.714155,0.919136,0.919149,0.36722,0.0
1130,867840,0.00027398617511520737,511.0,0.11,1.003521,83.07,12890,-0.010057,0.012921,2.648854,0.00575,0.074615,0.765792,0.483622,0.572571,1.526233,1.711243,0.910237,0.932,0.473598,0.0
1140,875520,0.0002737557603686636,511.0,0.16,1.060134,77.76,12987,-0.011628,0.005185,2.641075,0.006647,0.088928,0.809228,0.643652,0.465321,1.560889,1.722258,0.919123,0.914042,0.564969,0.0
1150,883200,0.0002735253456221198,511.0,0.18,1.051588,78.94,13084,-0.007447,0.008276,2.650808,0.004811,0.05072,0.743797,0.671278,0.33028,1.570458,1.728082,0.940301,0.919158,0.600936,0.0
1160,890880,0.000273294930875576,511.0,0.09,0.944783,77.43,13186,-0.009304,0.006924,2.646444,0.006058,0.074097,0.838995,0.691956,0.479999,1.653873,1.754333,0.929248,0.880793,0.693849,0.0
1170,898560,0.0002730645161290322,511.0,0.18,1.062073,76.16,13288,-0.009982,0.013193,2.611223,0.005518,0.066345,0.629708,0.49365,0.376579,1.551213,1.738827,0.86845,0.861909,0.537697,0.0
1180,906240,0.00027283410138248846,511.0,0.13,1.04206,74.36,13391,-0.010365,0.008367,2.607673,0.006728,0.085388,0.77435,0.412279,0.691376,1.353003,1.72205,0.862874,0.883846,0.582759,0.0
1190,913920,0.00027260368663594467,510.9,0.28,1.209168,79.09,13488,-0.009324,0.017612,2.572328,0.004845,0.050232,0.576571,0.553765,0.171442,1.466884,1.691429,0.900579,0.879518,0.509462,0.0
1200,921600,0.0002723732718894009,510.9,0.15,1.020372,81.59,13583,-0.009518,0.007909,2.596048,0.005624,0.070862,0.84991,0.773101,0.428173,1.457868,1.715731,0.928303,0.871279,0.489078,0.0
1210,929280,0.00027214285714285714,510.8,0.13,1.08058,87.5,13670,-0.00981,0.014156,2.600884,0.006189,0.076141,0.681839,0.732323,-0.100618,1.363025,1.687687,0.934037,0.91459,0.555137,0.0
1220,936960,0.00027191244239631334,510.8,0.22,1.128401,93.59,13751,-0.010264,0.010582,2.57722,0.005379,0.067596,0.762525,0.213697,0.784433,1.293262,1.684524,0.91217,0.89467,0.469332,0.0
1230,944640,0.00027168202764976955,510.8,0.3,1.207359,96.48,13830,-0.006945,0.006198,2.656924,0.005308,0.064819,0.816126,0.571261,0.602012,1.236143,1.749347,0.91828,0.917848,0.421635,0.0
1240,952320,0.00027145161290322576,510.8,0.17,1.054762,105.8,13904,-0.007751,0.009312,2.661316,0.00471,0.052277,0.723291,0.384873,0.643283,1.225353,1.717216,0.945878,0.942602,0.382104,0.0
1250,960000,0.000271221198156682,510.8,0.25,1.126865,113.44,13971,-0.009502,0.01496,2.649864,0.005546,0.07074,0.744504,0.235732,0.704796,1.261579,1.709294,0.953635,0.940916,0.361053,0.0
1260,967680,0.0002709907834101382,510.8,0.26,1.15623,104.25,14043,-0.009336,0.015937,2.648878,0.005696,0.067749,0.698794,0.240739,0.661798,1.263713,1.725919,0.912819,0.921188,0.464245,0.0
1270,975360,0.00027076036866359443,510.8,0.23,1.119268,104.99,14116,-0.009197,0.006239,2.646477,0.004919,0.056122,0.882782,0.141993,0.885951,1.43486,1.718275,0.902579,0.924946,0.57099,0.0
1280,983040,0.0002705299539170507,510.8,0.21,1.076462,100.74,14193,-0.00983,0.007626,2.730918,0.005235,0.062836,0.876876,0.374673,0.8133,1.52788,1.770487,0.896382,0.961789,0.521976,0.0
