update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
2700,2073600,5.1244239631336414e-05,504.1,0.47,1.447192,120.02,34975,-0.003251,0.009467,0.002073,2.896861,0.001169,0.002533,-0.094465,0.841754,0.41996,0.755053,0.641927,0.059896,0.852865,1.702653,8.0,0.98848,0.010338,0.000261,0.00092,0.0
2750,2112000,4.663594470046081e-05,506.6,0.58,1.611724,98.43,35345,-0.002591,0.014372,0.002503,2.790145,0.001032,0.000824,0.696581,0.790013,0.446137,0.684551,0.69362,0.049479,0.917969,1.594424,4.0,0.989498,0.009393,0.000248,0.000861,0.0
2800,2150400,4.2027649769585247e-05,506.9,0.61,1.666228,106.94,35704,-0.002458,0.019177,0.00194,2.933734,0.000864,0.001343,0.644946,0.834578,0.207357,0.22583,0.690104,0.013021,0.911458,1.603917,4.0,0.989963,0.008994,0.000235,0.000808,0.0
2850,2188800,3.741935483870968e-05,508.1,0.6,1.629773,106.23,36096,-0.001601,0.005608,0.001807,2.959563,0.00083,0.001678,0.828312,0.842827,0.456267,0.853427,0.753255,0.020833,0.981771,1.533452,4.0,0.989845,0.00917,0.000223,0.000763,0.0
2900,2227200,3.2811059907834113e-05,508.5,0.61,1.650135,94.14,36454,-0.002914,0.012683,0.002361,2.878049,0.001065,0.002533,0.525074,0.750022,0.411005,0.738198,0.629948,0.046875,0.778646,1.765702,7.0,0.989531,0.009543,0.000212,0.000715,0.0
2950,2265600,2.8202764976958513e-05,507.3,0.63,1.658449,86.23,36844,-0.001938,0.013941,0.001543,2.918401,0.000985,0.000122,0.590665,0.822842,0.179308,0.6944,0.675521,0.080729,0.89974,1.663703,5.0,0.990082,0.009044,0.000202,0.000673,0.0
3000,2304000,2.3594470046082947e-05,503.1,0.63,1.645532,89.93,37265,-0.001596,0.033478,0.004608,2.958317,0.000491,0.0,0.579355,0.531681,0.514054,0.528572,0.732682,0.082031,0.963542,1.547741,2.0,0.991187,0.007989,0.000192,0.000632,0.0
3050,2342400,1.898617511520738e-05,507.9,0.61,1.649545,89.35,37666,-0.001122,0.00258,0.001252,2.941871,0.000262,0.0,0.857922,0.882537,0.536187,0.794531,0.626172,0.053385,0.765625,1.762118,4.0,0.991675,0.007544,0.000184,0.000597,0.0
3100,2380800,1.437788018433178e-05,508.9,0.66,1.712493,100.18,38049,-0.000877,0.012126,0.001834,3.01286,0.000221,0.0,0.64469,0.811661,0.049267,0.802667,0.786068,0.002604,0.980469,1.427139,4.0,0.992058,0.007204,0.000175,0.000563,0.0
3150,2419200,9.769585253456213e-06,508.9,0.74,1.813584,119.52,38374,-0.00068,0.001984,0.00153,3.046519,0.000153,0.0,0.871513,0.892217,0.517794,0.873004,0.74362,0.041667,0.973958,1.502188,5.0,0.991912,0.007388,0.000168,0.000532,0.0
3200,2457600,5.1612903225806465e-06,508.6,0.66,1.739897,111.47,38701,-0.000436,0.037737,0.00252,2.994397,3.6e-05,0.0,0.435213,0.822614,0.565975,0.470788,0.717839,0.088542,0.933594,1.575743,4.0,0.991891,0.007447,0.00016,0.000503,0.0
3250,2496000,5.5299539170508e-07,508.2,0.66,1.687756,106.14,39071,-4.3e-05,0.017969,0.001775,3.016221,0.0,0.0,0.544108,0.891287,0.512514,0.788969,0.746615,0.110677,0.959635,1.50524,6.0,0.992143,0.007228,0.000153,0.000476,0.0
