event_id,frame,type,team,pcf_in_area,dist_to_goal_m,kept
433,31900,CHALLENGE,Home,0.4291,43.12,0
434,31901,CHALLENGE,Away,0.378,83.01,0
437,32338,PASS,Away,0.9918,81.5,1
438,32434,PASS,Away,0.9915,78.47,1
439,32619,PASS,Away,0.5822,56.79,1
440,32739,PASS,Away,0.9635,60.48,1
443,33645,BALL LOST,Home,0.9921,101.76,0
445,33723,BALL LOST,Away,0.6532,65.19,0
447,33823,BALL LOST,Home,0.3457,56.06,0
449,33863,PASS,Away,0.5119,69.38,1
450,33880,BALL LOST,Away,0.4568,63.77,0
454,34161,PASS,Away,0.8971,61.57,1
455,34233,PASS,Away,0.9913,75.31,1
456,34298,PASS,Away,0.9573,72.09,1
457,34397,PASS,Away,0.7615,67.41,1
458,34515,PASS,Away,0.7335,46.6,1
459,34619,BALL LOST,Away,0.3696,22.99,0
461,34645,PASS,Home,0.6413,100.72,1
462,34821,PASS,Home,0.9688,96.48,1
463,34980,BALL LOST,Home,0.4261,83.46,0
465,35083,PASS,Away,0.4295,53.16,1
466,35188,PASS,Away,0.3843,40.0,1
467,35313,PASS,Away,0.3495,43.66,1
468,35439,PASS,Away,0.6186,46.08,1
469,35503,PASS,Away,0.9463,49.94,1
472,36212,BALL LOST,Home,0.9919,104.94,0
473,36335,CHALLENGE,Home,0.3879,48.41,0
474,36335,CHALLENGE,Away,0.3945,63.61,0
476,36335,BALL LOST,Away,0.3945,63.61,0
478,36410,CHALLENGE,Home,0.253,50.56,0
479,36410,BALL LOST,Home,0.253,50.56,0
480,36414,CHALLENGE,Away,0.6621,68.65,0
484,36535,PASS,Home,0.9595,66.23,1
485,36618,PASS,Home,0.3205,77.31,1
486,36691,PASS,Home,0.5951,71.13,1
489,36880,PASS,Away,0.9246,62.45,1
490,36956,PASS,Away,0.9647,66.96,1
491,37027,PASS,Away,0.9718,68.41,1
492,37127,PASS,Away,0.4315,61.54,1
493,37182,PASS,Away,0.5444,52.71,1
494,37215,PASS,Away,0.3443,52.73,1
495,37303,CHALLENGE,Away,0.453,33.64,0
496,37308,CHALLENGE,Home,0.2619,80.41,0
497,37341,CHALLENGE,Home,0.4019,88.25,0
498,37351,CHALLENGE,Away,0.2545,27.25,0
499,37382,BALL LOST,Away,0.2436,25.5,0
500,37382,CHALLENGE,Away,0.2436,25.5,0
501,37386,CHALLENGE,Home,0.5608,94.6,0
503,38142,BALL LOST,Home,0.9923,96.44,0
504,38232,CHALLENGE,Home,0.2934,35.63,0
505,38234,CHALLENGE,Away,0.4252,72.47,0
507,38234,PASS,Away,0.4252,72.47,1
508,38275,PASS,Away,0.3517,61.66,0
509,38313,CHALLENGE,Home,0.4083,44.1,0
511,38317,CHALLENGE,Away,0.2723,65.26,0
512,38317,BALL LOST,Away,0.2723,65.26,0
513,38324,PASS,Home,0.4681,43.05,1
514,38373,PASS,Home,0.3476,40.89,1
515,38419,PASS,Home,0.6595,49.14,0
517,38457,CHALLENGE,Away,0.4531,64.81,0
518,38461,CHALLENGE,Home,0.342,50.64,0
521,42476,PASS,Home,0.6954,49.19,1
522,42495,PASS,Home,0.8205,56.54,1
523,42539,PASS,Home,0.8851,63.65,1
524,42591,PASS,Home,0.9385,71.04,1
525,42660,BALL LOST,Home,0.5424,69.93,0
529,43113,PASS,Home,0.9655,50.78,1
530,43132,PASS,Home,0.3273,43.86,1
531,43171,CHALLENGE,Home,0.2882,51.03,0
532,43214,PASS,Home,0.2461,54.34,1
533,43270,BALL LOST,Home,0.5006,65.84,0
534,43307,CHALLENGE,Home,0.2947,35.81,0
535,43314,CHALLENGE,Away,0.6751,77.8,0
537,43325,PASS,Away,0.6083,80.57,0
538,43439,CHALLENGE,Home,0.4166,52.38,0
539,43455,CHALLENGE,Away,0.2448,67.42,0
540,43469,PASS,Away,0.3295,66.16,1
541,43485,BALL LOST,Away,0.2823,56.17,0
543,44270,BALL LOST,Home,0.7699,63.04,0
545,44354,BALL LOST,Away,0.8773,85.93,0
547,44426,CHALLENGE,Away,0.5767,87.24,0
549,44426,BALL LOST,Away,0.5767,87.24,0
550,44429,CHALLENGE,Home,0.1778,22.48,0
551,44429,BALL LOST,Home,0.1778,22.48,0
553,44574,PASS,Home,0.8739,37.98,1
554,44615,PASS,Home,0.4831,40.48,1
555,44665,PASS,Home,0.4955,45.71,1
556,44737,PASS,Home,0.3541,60.12,1
557,44823,PASS,Home,0.5863,68.42,1
558,44858,BALL LOST,Home,0.3019,71.83,0
562,45114,PASS,Home,0.8775,73.37,0
563,45132,CHALLENGE,Away,0.5865,54.91,0
564,45132,CHALLENGE,Home,0.2307,65.58,0
565,45132,PASS,Home,0.2307,65.58,1
566,45176,CHALLENGE,Home,0.3056,72.78,0
568,45184,CHALLENGE,Away,0.4706,50.18,0
570,45835,PASS,Home,0.9046,71.36,1
571,45904,CHALLENGE,Home,0.3738,36.08,0
572,45904,BALL LOST,Home,0.3738,36.08,0
573,45905,CHALLENGE,Away,0.3592,83.18,0
577,46485,PASS,Home,0.9256,44.3,1
580,47146,PASS,Away,0.9195,72.44,1
581,47204,PASS,Away,0.6518,68.02,1
582,47337,PASS,Away,0.9899,58.7,1
583,47434,PASS,Away,0.3807,44.78,1
584,47496,PASS,Away,0.8894,45.51,1
585,47627,PASS,Away,0.8446,48.19,1
586,47755,PASS,Away,0.3376,42.66,1
587,47801,PASS,Away,0.3381,49.55,1
588,47879,PASS,Away,0.6788,57.44,1
589,47979,CHALLENGE,Away,0.3834,53.43,0
590,47981,CHALLENGE,Home,0.3851,57.3,0
591,47995,PASS,Away,0.3672,55.07,1
592,48061,PASS,Away,0.4042,67.84,1
593,48137,PASS,Away,0.4955,73.71,1
594,48200,PASS,Away,0.3606,64.15,1
595,48239,PASS,Away,0.7673,57.21,0
598,48284,BALL LOST,Away,0.5493,47.38,0
600,48404,PASS,Away,0.9059,42.46,1
601,48478,PASS,Away,0.9167,44.83,1
602,48555,BALL LOST,Away,0.3059,22.96,0
604,48577,PASS,Home,0.3188,88.57,1
605,48613,PASS,Home,0.2167,84.84,1
606,48646,CHALLENGE,Home,0.2197,79.55,0
607,48671,PASS,Home,0.1791,78.49,0
608,48721,CHALLENGE,Away,0.7009,37.11,0
609,48730,CHALLENGE,Home,0.205,66.79,0
610,48767,PASS,Home,0.3775,65.46,1
611,48936,BALL LOST,Home,0.2934,29.34,0
612,48978,CHALLENGE,Home,0.3159,26.27,0
613,48982,CHALLENGE,Away,0.3177,101.41,0
617,50616,CHALLENGE,Away,0.399,50.64,0
618,50617,CHALLENGE,Home,0.3749,71.54,0
620,51082,PASS,Home,0.8803,71.51,1
621,51138,CHALLENGE,Home,0.3744,57.29,0
622,51166,CHALLENGE,Away,0.6167,56.88,0
623,51224,CHALLENGE,Home,0.2136,53.32,0
624,51224,BALL LOST,Home,0.2136,53.32,0
625,51225,CHALLENGE,Away,0.6023,65.45,0
627,51225,PASS,Away,0.6023,65.45,1
630,51461,PASS,Home,0.9189,59.84,1
631,51473,PASS,Home,0.3769,58.95,1
632,51514,PASS,Home,0.3863,60.32,1
633,51543,PASS,Home,0.348,63.72,1
634,51630,PASS,Home,0.9223,77.13,1
635,51672,BALL LOST,Home,0.8902,80.56,0
637,51755,CHALLENGE,Home,0.2916,69.06,0
639,51757,CHALLENGE,Away,0.5283,41.29,0
640,51757,BALL LOST,Away,0.5283,41.29,0
641,51853,PASS,Home,0.6475,61.66,1
642,51907,PASS,Home,0.7885,61.99,1
643,51979,PASS,Home,0.8558,52.25,1
644,52026,PASS,Home,0.9519,51.11,1
645,52048,PASS,Home,0.7889,46.36,1
646,52090,PASS,Home,0.5335,47.72,1
647,52293,PASS,Home,0.6632,38.88,0
648,52317,CHALLENGE,Away,0.4722,73.19,0
649,52319,CHALLENGE,Home,0.4047,41.39,0
652,53269,PASS,Home,0.6478,43.21,1
653,53322,PASS,Home,0.5324,38.53,1
654,53461,PASS,Home,0.2766,23.57,1
655,53502,PASS,Home,0.6585,29.87,1
656,53551,PASS,Home,0.3906,27.0,1
657,53604,PASS,Home,0.5688,18.63,0
658,53633,CHALLENGE,Away,0.5427,100.7,0
659,53634,PASS,Home,0.2791,5.3,1
660,53676,PASS,Home,0.4842,17.57,1
661,53695,CHALLENGE,Home,0.2948,6.5,0
662,53695,SHOT,Home,0.2948,6.5,0
664,53708,PASS,Away,0.9036,105.0,1
665,53724,BALL LOST,Away,0.4412,99.79,0
667,53775,SHOT,Home,0.3428,21.07,0
671,54288,PASS,Home,0.8875,42.39,1
672,54297,PASS,Home,0.2615,35.02,1
673,54373,CHALLENGE,Home,0.286,42.43,0
674,54373,BALL LOST,Home,0.286,42.43,0
675,54381,CHALLENGE,Away,0.5057,78.52,0
677,54381,PASS,Away,0.5057,78.52,1
678,54476,PASS,Away,0.3355,69.06,0
679,54505,CHALLENGE,Home,0.5237,52.1,0
680,54506,CHALLENGE,Away,0.3041,55.22,0
681,54542,CHALLENGE,Home,0.347,50.19,0
682,54546,CHALLENGE,Away,0.3063,56.38,0
683,54603,CHALLENGE,Away,0.3294,58.26,0
684,54603,BALL LOST,Away,0.3294,58.26,0
685,54604,CHALLENGE,Home,0.3919,50.85,0
687,54643,CHALLENGE,Away,0.4538,64.63,0
688,54647,CHALLENGE,Home,0.301,48.41,0
689,54647,PASS,Home,0.301,48.41,1
690,54839,PASS,Home,0.4909,34.8,1
691,54898,PASS,Home,0.5403,36.35,1
692,54934,PASS,Home,0.9342,42.29,1
693,54994,PASS,Home,0.4675,39.85,1
694,55079,PASS,Home,0.8313,48.01,1
695,55148,BALL LOST,Home,0.718,40.48,0
696,55187,CHALLENGE,Away,0.5059,98.64,0
698,55187,PASS,Away,0.5059,98.64,1
699,55332,PASS,Away,0.3192,90.15,1
700,55354,BALL LOST,Away,0.6496,99.2,0
702,55523,PASS,Home,0.4047,45.21,1
703,55612,PASS,Home,0.441,62.91,1
704,55670,PASS,Home,0.5488,66.96,1
705,55744,PASS,Home,0.3365,58.19,1
706,55799,PASS,Home,0.2053,51.12,0
707,55854,CHALLENGE,Away,0.471,74.91,0
708,55854,CHALLENGE,Home,0.1862,40.76,0
711,56425,PASS,Home,0.7293,43.6,1
712,56494,PASS,Home,0.7082,33.56,1
713,56649,PASS,Home,0.4723,33.4,1
714,56734,PASS,Home,0.3101,33.86,1
715,56757,PASS,Home,0.299,24.3,1
716,56804,CHALLENGE,Home,0.2698,19.61,0
717,56804,BALL LOST,Home,0.2698,19.61,0
718,56810,CHALLENGE,Away,0.665,99.92,0
722,57509,PASS,Home,0.9916,33.34,1
723,57569,CHALLENGE,Home,0.1943,9.2,0
724,57569,BALL LOST,Home,0.1943,9.2,0
725,57572,CHALLENGE,Away,0.7035,101.99,0
727,57606,PASS,Away,0.7133,105.0,1
728,57624,BALL LOST,Away,0.5549,101.53,0
730,57668,SHOT,Home,0.8918,25.5,0
732,59053,BALL LOST,Away,0.9922,101.78,0
733,59142,CHALLENGE,Home,0.4385,63.5,0
735,59142,PASS,Home,0.4385,63.5,0
736,59144,CHALLENGE,Away,0.372,52.73,0
737,59232,CHALLENGE,Home,0.2466,63.99,0
738,59232,PASS,Home,0.2466,63.99,1
739,59266,PASS,Home,0.4333,62.24,1
740,59329,PASS,Home,0.5651,76.91,1
741,59391,PASS,Home,0.5953,96.11,1
742,59463,PASS,Home,0.753,99.7,1
743,59511,PASS,Home,0.2818,95.78,1
744,59584,PASS,Home,0.2989,71.69,1
745,59640,PASS,Home,0.3837,76.75,1
746,59705,PASS,Home,0.6237,78.45,1
747,59773,PASS,Home,0.4092,74.07,1
748,59821,PASS,Home,0.3724,64.81,1
749,59861,PASS,Home,0.5971,64.31,1
750,59881,PASS,Home,0.8524,60.92,1
751,59923,PASS,Home,0.3153,50.41,1
752,59923,PASS,Home,0.9116,58.7,1
753,60000,PASS,Home,0.9576,53.26,1
756,60792,PASS,Away,0.9919,101.76,1
757,60882,PASS,Away,0.3879,57.72,1
758,60916,PASS,Away,0.4255,63.37,1
759,60971,PASS,Away,0.5979,57.11,1
760,61019,PASS,Away,0.6063,51.98,1
761,61099,BALL LOST,Away,0.6908,52.89,0
763,61178,PASS,Home,0.8028,91.62,1
764,61294,PASS,Home,0.4622,73.27,1
765,61420,PASS,Home,0.3416,45.51,1
766,61517,CHALLENGE,Home,0.6431,42.63,0
767,61524,CHALLENGE,Away,0.5229,81.25,0
770,62681,BALL LOST,Home,0.9597,39.95,0
772,62711,BALL LOST,Away,0.6028,91.16,0
774,62792,SHOT,Home,0.4607,30.77,0
776,63239,PASS,Away,0.9912,100.76,1
777,63333,PASS,Away,0.7139,83.95,1
778,63407,CHALLENGE,Away,0.3129,54.1,0
779,63428,CHALLENGE,Home,0.482,51.1,0
780,63469,CHALLENGE,Away,0.23,57.1,0
783,63542,BALL LOST,Home,0.9377,40.29,0
785,63718,PASS,Away,0.4559,61.27,1
786,63864,PASS,Away,0.4201,33.92,1
787,63931,CHALLENGE,Away,0.2362,29.8,0
788,63931,BALL LOST,Away,0.2362,29.8,0
