event_id,d1,n_near,n_block,n_def,presser_line,presser_x,ball_x,ball_y,back_line_x,mid_line_x,back_gap_max,back_width,highest_att_x,att_line_x,rel_back,rel_mid,excursion,committed,engaged
03283bd1-a7b0-4db7-ac97-13004ca653fc,4.773754734672804,1,4,9,back,55.90002741154551,60.2875,59.245,58.636110046106594,46.33810607604528,22.887525092862862,30.48473962704478,65.3003265675402,61.08756092302955,1.651389953893407,13.949393923954723,-2.736082634561086,True,False
03418041-bb03-42d0-9663-3104e5323a22,0.3452138366313263,2,5,9,mid,47.780239228622875,48.125,51.765,60.76080187172234,48.78495041595848,21.611652033846724,30.9041736411756,70.21028604110774,64.57546828434465,-12.635801871722343,-0.6599504159584768,-12.980562643099468,True,True
0359f125-bfda-4bca-a9db-4fa05a43634a,9.856908603099482,0,1,9,back,64.48111739121649,73.5,6.034999999999999,65.43810893742574,52.86254231837785,11.893188431754254,29.168264380171102,78.7442610596513,73.75304779355517,8.061891062574261,20.637457681622152,-0.9569915462092524,False,False
03a4e205-0ab0-4304-8489-dfb10b506442,3.0217406829880065,2,3,9,back,57.24679376653323,56.525,38.08,60.5551827586857,47.84968370489774,11.432711099145024,26.400099477950853,73.00729348420393,68.83019867359238,-4.030182758685704,8.675316295102256,-3.308388992152473,True,False
03b01d3e-493b-4ab1-a46c-686b9a479159,10.071737312164661,0,0,8,back,57.16886411163559,67.2,6.12,61.57191845473848,47.77888115167644,16.437013161335557,31.27645833529971,76.92156965609672,69.21775052449671,5.628081545261523,19.421118848323566,-4.4030543431028875,False,False
03b47c53-fe2d-471a-9c78-a931168cc153,9.505538276073002,0,1,9,back,76.12595649797008,81.9875,12.325,67.96400437918564,51.29443158793776,10.308656647140662,26.803445208192294,93.66922178003212,81.45189406159537,14.023495620814359,30.69306841206224,8.161952118784441,False,False
045fb2f7-032f-4974-9ee1-6637def1d69d,14.99655903553954,0,0,9,back,79.21944566135582,91.2625,46.07,72.24227100828254,50.85931537628911,13.741025980140732,44.98245429044086,94.10015770422474,89.09185129978556,19.02022899171746,40.40318462371089,6.977174653073277,False,False
046b2e1a-20de-4675-bedb-92020daa4962,1.8025578010770766,1,3,9,back,58.89146067922133,58.7125,48.025,67.50231450355615,50.356829424319955,14.575432202077655,33.27585549171911,82.66493667610348,75.37027580055772,-8.789814503556151,8.355670575680044,-8.610853824334818,True,True
047dcd97-ba00-464b-bf3f-e142faf3a0c6,0.8951456868363671,2,2,9,back,68.23769175056415,67.375,24.055,72.54528239266945,55.29598943090261,5.5471665681933775,13.675355039412638,79.1574031701963,76.59511938251933,-5.170282392669449,12.079010569097392,-4.307590642105296,True,True
04bbc443-d2ad-41cd-8532-ee8b939c24bd,2.7264150218800416,1,4,8,back,77.74009943887646,80.15,39.695,80.90783436721554,60.35523174182583,9.75123407128557,23.118536472112933,91.86617216683106,83.15055408458618,-0.757834367215537,19.794768258174173,-3.1677349283390868,True,True
04eb29f1-998a-4dcb-bb30-6e43568eb960,5.3555929919246745,0,2,9,back,76.73230373530555,80.85,45.135,77.66880244483248,54.11184828339297,9.889374378008842,25.207391412315967,90.0192250139597,83.97143515919161,3.1811975551675147,26.73815171660702,-0.9364987095269299,False,False
04ee9851-a9cd-413b-bd2f-a19c17d1e1c1,8.413390987307967,0,3,9,back,64.45550842443646,56.2625,20.995,63.30078550148998,49.23360355487395,13.644487372373725,37.71606515961174,77.14105137419249,67.56555239095594,-7.03828550148998,7.028896445126051,1.1547229229464762,False,False
04f724f6-6f20-4a60-9466-541b718b4d9c,3.108367905932711,3,4,9,back,76.03649094145193,78.8375,20.74,76.7471280212913,63.73315682472348,6.106411301422051,15.7965035552892,100.73768794780113,87.8912100240515,2.0903719787087027,15.104343175276526,-0.7106370798393726,True,False
04fc41e2-0cee-44b3-a6c6-0bb371babdb9,16.599283093752504,0,0,8,back,84.40453148014532,94.5,46.92,75.9777578685856,55.68742041519214,16.34317317139633,35.64674392093236,98.02095595113272,91.01687487917492,18.5222421314144,38.81257958480786,8.426773611559724,False,False
054a1dd8-063b-42da-97e2-29d73b0699fc,16.19408161942314,0,0,9,back,74.18807765767242,80.675,43.69,66.20070349354484,50.64170068965754,13.328322464458608,36.285954152745866,90.73315800770915,78.98224702516808,14.474296506455161,30.033299310342457,7.987374164127587,False,False
057165d4-122e-44b5-a287-b392824c0c98,2.9653268853161077,1,3,9,back,69.30844015520981,72.01249999999999,38.59,70.02626313777264,55.638706513867106,13.65938458045813,29.507934377753426,84.11086328876293,75.06345194839722,1.9862368622273436,16.373793486132882,-0.7178229825628364,True,True
058c36df-8479-4070-9549-d3cbce3644b3,2.182131582388415,1,2,9,mid,52.77237586711746,54.95,7.055000000000001,62.48614466925476,50.63350825970528,12.692724806444282,30.83201590224429,79.32720107124283,69.11961118122454,-7.53614466925476,4.3164917402947225,-9.713768802137302,True,True
05be0047-b165-4769-976e-a337c1429b27,1.8903016489119373,1,1,8,mid,55.95515250675665,55.9125,44.370000000000005,70.76645383033373,54.903510409967744,24.59933899180525,36.93479159093957,83.90375148044043,74.59059513298847,-14.85395383033373,1.0089895900322574,-14.811301323577084,True,True
06046e2c-dd68-4a9a-949b-51aba0233052,6.267246617200608,0,1,9,back,64.38590046203373,68.425,34.935,74.2061740381436,57.86106986771763,8.06114719478957,17.738882322960745,86.82610077001256,82.05102084677739,-5.781174038143604,10.563930132282366,-9.82027357610987,False,False
