ticks,seconds,ball_x,presser,path_m,net_m,any_engaged
67,2.68,92.17182089552239,Away_22,9.419326810169746,8.827046095047875,True
8,0.32,101.3709375,Away_20,1.3162175170742614,1.3146358525842838,True
5,0.2,94.7163,Away_21,0.15440211633943232,0.15436348046088527,True
3,0.12,97.307,Away_20,0.16864186991528007,0.16864179315935626,True
15,0.6,100.43186999999999,Away_22,2.8763084819802174,2.8752405698306376,True
22,0.88,50.153727272727274,Away_20,4.549554203721473,4.544039344294901,True
4,0.16,92.9000625,Away_16,0.6415425030191222,0.6414755353869734,True
23,0.92,63.466656521739125,Away_24,3.3431301669534452,3.335687734545907,True
38,1.52,62.22540394736842,Away_19,3.7786493465201016,3.6160298776558775,True
39,1.56,81.22546923076922,Away_19,9.813974922453651,9.809374038928285,True
37,1.48,55.27900945945946,Away_22,3.9729917816026004,3.9648958953420217,True
9,0.36,45.99735,Away_24,2.013966366909732,2.0139059666478922,True
8,0.32,47.484018750000004,Away_18,0.6422317787266375,0.640076876945265,True
20,0.8,64.80353249999999,Away_17,1.1476864620931817,1.1147790095350685,True
30,1.2,64.73327,Away_17,2.778821844965775,2.7749943567509954,True
62,2.48,49.014338709677425,Away_23,5.2982703987623045,3.5497021003036253,True
14,0.56,47.719725,Away_19,2.1952451945746794,1.900838838407926,True
22,0.88,47.37843409090909,Away_22,5.826813353790199,5.823631779233642,True
34,1.36,47.789607352941175,Away_17,5.811604037289328,5.714607161380391,True
24,0.96,50.47958125,Away_20,4.553963635242146,4.52854737770292,True
61,2.44,85.16649836065574,Away_16,8.855967494049485,8.58652274724174,True
10,0.4,85.313655,Away_19,0.6986763845250142,0.691376384034052,True
8,0.32,48.19605,Away_18,1.6529008066653406,1.652761691351784,True
12,0.48,50.4112,Away_19,2.3586784264578706,2.3585308075155607,True
8,0.32,52.532025000000004,Away_20,0.986754512643554,0.9862466061285087,True
13,0.52,55.36561153846154,Away_21,1.4915650455888312,1.4911810755236894,True
9,0.36,66.01501666666667,Away_21,1.392304768261777,1.3921153193970686,True
56,2.24,60.949275,Away_19,11.610014101520823,11.324595655126048,True
47,1.88,64.25193510638297,Away_27,2.9380013168628025,2.5106020497283192,True
110,4.4,73.21538318181818,Away_19,17.434408037529565,12.48806019947052,True
50,2.0,51.268476,Away_21,4.225428298229626,3.9397421400391077,True
20,0.8,54.19113,Away_21,2.4066435300559905,2.4051441101106694,True
40,1.6,46.6780125,Away_26,5.373749038573995,5.142804075842292,True
19,0.76,49.25085789473684,Away_18,4.500286520797739,4.499331791499705,True
29,1.16,65.47561034482759,Away_26,5.628365713418718,5.627221836075071,True
29,1.16,69.26824655172415,Away_26,2.1026052891526215,2.1002353548114527,True
35,1.4,57.04869,Away_19,5.824882050161855,5.754977117461023,True
25,1.0,71.73713400000001,Away_20,4.9282401512600265,4.876114519009994,True
25,1.0,97.423998,Away_16,5.4109020380422885,5.410261859133982,True
15,0.6,54.12764,Away_21,0.3456013051570964,0.31447089292969027,True
1,0.04,57.922200000000004,Away_15,0.0,0.0,True
11,0.44,52.972404545454545,Away_26,0.7804162918357951,0.7799393722591536,True
29,1.16,51.00834827586207,Away_18,2.2199744394049477,2.209340500782991,True
40,1.6,62.44951125,Away_27,4.57086710490475,3.9473689669069505,True
11,0.44,61.72701818181818,Away_28,0.7711485170234416,0.7680368757423004,True
49,1.96,66.2388,Away_27,7.000313525767836,6.9438389417454065,True
40,1.6,69.229545,Away_28,8.190217582511558,8.146022491259158,True
10,0.4,73.93029,Away_21,1.6093917394168247,1.6090118055502316,True
39,1.56,79.24363461538461,Away_16,3.258301071141721,2.991351301402091,True
3,0.12,73.38345,Away_17,0.03908086292308875,0.03907010238022836,True
14,0.56,60.386849999999995,Away_26,2.2669952696499553,2.256263438874105,True
14,0.56,60.587025,Away_18,1.9024213910982046,1.9020253891312826,True
21,0.84,53.7004,Away_26,3.1154613662180215,3.0503063453364794,True
8,0.32,66.09369375,Away_21,0.755199995043423,0.7519240270798648,True
2,0.08,45.073350000000005,Away_26,0.1307210602772128,0.1307210602772128,True
40,1.6,49.03912125,Away_18,3.0579942267642126,1.703780384908799,True
28,1.12,47.620799999999996,Away_17,5.589950570670665,5.489889820105684,True
23,0.92,87.9875804347826,Away_21,2.2247511019960045,2.167303786759013,True
49,1.96,84.42255,Away_28,4.574431908052094,2.2307250463470387,True
15,0.6,47.50718,Away_28,3.8995265482393595,3.898713190990063,True
61,2.44,90.24200901639345,Away_15,7.165912960903247,0.8865563048109213,True
16,0.64,81.891534375,Away_17,1.597388697794247,1.5967507452636456,True
