policy,x,y,radius,episode,arrived,max_control
random,86.0,34.0,12.0,20,0,
random,88.0,34.0,6.0,20,0,
random,88.0,34.0,8.0,20,0,
random,88.0,34.0,10.0,20,0,
random,88.0,34.0,12.0,20,0,
random,82.0,34.0,6.0,21,0,
random,82.0,34.0,8.0,21,0,
random,82.0,34.0,10.0,21,1,0.319524
random,82.0,34.0,12.0,21,1,0.323938
random,84.0,34.0,6.0,21,0,
random,84.0,34.0,8.0,21,0,
random,84.0,34.0,10.0,21,0,
random,84.0,34.0,12.0,21,1,0.271411
random,86.0,34.0,6.0,21,0,
random,86.0,34.0,8.0,21,0,
random,86.0,34.0,10.0,21,0,
random,86.0,34.0,12.0,21,1,0.162248
random,88.0,34.0,6.0,21,0,
random,88.0,34.0,8.0,21,0,
random,88.0,34.0,10.0,21,0,
random,88.0,34.0,12.0,21,1,0.159595
random,82.0,34.0,6.0,22,0,
random,82.0,34.0,8.0,22,0,
random,82.0,34.0,10.0,22,0,
random,82.0,34.0,12.0,22,0,
random,84.0,34.0,6.0,22,0,
random,84.0,34.0,8.0,22,0,
random,84.0,34.0,10.0,22,0,
random,84.0,34.0,12.0,22,0,
random,86.0,34.0,6.0,22,0,
random,86.0,34.0,8.0,22,0,
random,86.0,34.0,10.0,22,0,
random,86.0,34.0,12.0,22,0,
random,88.0,34.0,6.0,22,0,
random,88.0,34.0,8.0,22,0,
random,88.0,34.0,10.0,22,0,
random,88.0,34.0,12.0,22,0,
random,82.0,34.0,6.0,23,0,
random,82.0,34.0,8.0,23,0,
random,82.0,34.0,10.0,23,1,0.143451
random,82.0,34.0,12.0,23,1,0.135068
random,84.0,34.0,6.0,23,0,
random,84.0,34.0,8.0,23,0,
random,84.0,34.0,10.0,23,1,0.147894
random,84.0,34.0,12.0,23,1,0.137027
random,86.0,34.0,6.0,23,0,
random,86.0,34.0,8.0,23,0,
random,86.0,34.0,10.0,23,1,0.142859
random,86.0,34.0,12.0,23,1,0.134244
random,88.0,34.0,6.0,23,0,
random,88.0,34.0,8.0,23,0,
random,88.0,34.0,10.0,23,1,0.125254
random,88.0,34.0,12.0,23,1,0.1236
random,82.0,34.0,6.0,24,0,
random,82.0,34.0,8.0,24,0,
random,82.0,34.0,10.0,24,0,
