seed,outcome,ticks,passes,passes_in_disc,mean_pass_len,dwell_ticks,spread_mean,spread_final,n_in_disc_mean,n_in_disc_final,n_in_disc_max,zc_mean,zc_final,carrier_clear_mean,speed_mean,possession_rate,slow,crowd_disc,crowd_near,tight,zone_dwell,press,offside,stall,policy
10129,success,79,7,2,10.514872424197453,20,16.304497269661834,15.341914077191642,1.7215189873417722,2.0,2.0,0.4170868909811672,0.44284188747406006,4.380126549659733,1.2057400597766554,0.08860759493670886,0.8506329113924053,0.0,0.0,0.0,0.25316455696202533,0.0379746835443038,0.0,0.22784810126582278,vanilla_10m_cuda_rung2/final
10130,failure,91,4,0,29.207824586184366,5,15.561663350961531,14.947090691163343,1.3736263736263736,3.0,3.0,0.3784030943617716,0.47402501106262207,15.04948033227625,1.0910177297050563,0.054945054945054944,0.8879120879120883,0.0,0.0,0.0,0.054945054945054944,0.0,0.5274725274725275,0.2967032967032967,vanilla_10m_cuda_rung2/final
10131,success,96,10,3,7.578270300091336,25,10.329527871443617,10.825036967660745,1.625,2.0,2.0,0.2266888830345124,0.41733217239379883,6.902333753922387,1.0552585162859829,0.13541666666666666,0.9145833333333334,0.0,0.65625,0.0,0.2604166666666667,0.041666666666666664,0.0,0.3645833333333333,vanilla_10m_cuda_rung2/final
10132,success,27,2,0,14.860475264409482,3,14.908231252359307,14.215568512801932,4.0,4.0,4.0,0.6980773243639204,0.4102528393268585,5.265940113537685,1.2480809469869667,0.07407407407407407,0.814814814814815,1.0,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,vanilla_10m_cuda_rung2/final
10133,success,80,7,3,10.875535759767592,31,18.241645796657473,18.0856798065558,1.85,3.0,3.0,0.29183689765632154,0.41279304027557373,7.1906539399613205,1.2007295971259986,0.0875,0.8650000000000002,0.0,0.0,0.0,0.3875,0.0375,0.05,0.3,vanilla_10m_cuda_rung2/final
10134,failure,120,18,4,4.288839510253561,23,10.539545752827957,12.45317722346281,0.625,3.0,3.0,0.14346121593844147,0.5194509625434875,2.732721556619331,1.0837424371886497,0.15,0.9033333333333334,0.0,0.6583333333333333,0.0,0.19166666666666668,0.1,0.0,0.36666666666666664,vanilla_10m_cuda_rung2/final
10135,failure,88,10,4,6.563045632153671,30,14.893051607013446,14.025614375897826,1.9431818181818181,3.0,3.0,0.3619315065443516,0.32086387276649475,4.906211328144848,1.2262666323810478,0.14772727272727273,0.8397727272727273,0.0,0.0,0.0,0.3409090909090909,0.045454545454545456,0.0,0.36363636363636365,vanilla_10m_cuda_rung2/final
10136,success,127,8,2,18.30299570257712,15,23.13793756900597,24.280188355418495,0.5669291338582677,3.0,3.0,0.11818400112816727,0.4459740221500397,7.842808171438755,1.3121178548348829,0.06299212598425197,0.8094488188976378,0.0,0.0,0.0,0.11811023622047244,0.023622047244094488,0.0,0.3228346456692913,vanilla_10m_cuda_rung2/final
10137,failure,78,7,2,10.064240243934673,21,12.150698083167025,12.657659161483847,1.1923076923076923,3.0,3.0,0.34051431314303326,0.4011329710483551,1.5495302557135835,1.1192958244064568,0.07692307692307693,0.8974358974358978,0.0,0.0,0.0,0.2692307692307692,0.0641025641025641,0.0,0.24358974358974358,vanilla_10m_cuda_rung2/final
10138,success,106,14,1,4.99476040041521,12,15.327050399134116,17.60727735868027,0.5471698113207547,2.0,2.0,0.161093628014227,0.5011079907417297,2.680476236176364,1.1653962209630415,0.14150943396226415,0.8839622641509436,0.0,0.660377358490566,0.0,0.11320754716981132,0.0660377358490566,0.018867924528301886,0.39622641509433965,vanilla_10m_cuda_rung2/final
10139,success,115,12,8,8.136539241833326,53,16.830998607655435,17.546716146575207,1.8434782608695652,2.0,2.0,0.23464149210764015,0.5159427523612976,3.1857988795741448,1.0938413482092224,0.12173913043478261,0.896521739130435,0.0,0.08695652173913043,0.0,0.4608695652173913,0.10434782608695652,0.017391304347826087,0.26956521739130435,vanilla_10m_cuda_rung2/final
10140,success,94,5,0,23.438892534731472,4,22.91107632907119,23.081979791900277,0.46808510638297873,1.0,1.0,0.1516217750477347,0.4315702021121979,6.852457000450445,1.3324026356715826,0.05319148936170213,0.8127659574468086,0.0,0.0,0.0,0.0425531914893617,0.031914893617021274,0.0,0.30851063829787234,vanilla_10m_cuda_rung2/final
10141,success,53,4,0,13.431535871553024,7,14.734372537416792,14.772770502416375,1.9433962264150944,3.0,3.0,0.4622095677087892,0.4658859074115753,4.1080488367919195,1.2256876258499223,0.07547169811320754,0.8641509433962263,0.0,0.0,0.0,0.1320754716981132,0.018867924528301886,0.0,0.20754716981132076,vanilla_10m_cuda_rung2/final
10142,timeout,200,13,0,19.908343318374556,0,24.026362832785072,25.786613713061946,1.15,2.0,2.0,0.1770888065546751,0.21390129625797272,12.462736501389493,1.1245617118733278,0.065,0.88,0.0,0.09,0.0,0.0,0.0,0.0,0.56,vanilla_10m_cuda_rung2/final
10143,success,77,9,0,6.678551737569312,3,17.962616456977187,16.550404249872553,2.207792207792208,4.0,4.0,0.5128326623083709,0.6750099658966064,9.691745723715805,1.1751847097880557,0.11688311688311688,0.855844155844156,0.025974025974025976,0.0,0.0,0.03896103896103896,0.0,0.6363636363636364,0.33766233766233766,vanilla_10m_cuda_rung2/final
10144,success,88,12,5,4.831575559722006,37,10.619384776620835,11.89222115738016,1.4659090909090908,3.0,3.0,0.26460395935414865,0.40898987650871277,2.939438958085503,1.0751548625269918,0.13636363636363635,0.915909090909091,0.0,0.6704545454545454,0.0,0.42045454545454547,0.07954545454545454,0.06818181818181818,0.20454545454545456,vanilla_10m_cuda_rung2/final
10145,success,78,11,9,4.7198463811535705,50,12.61946363254728,13.207898166610406,2.858974358974359,3.0,3.0,0.3240160999389795,0.4093371331691742,1.4526322510593317,1.0039957076507375,0.15384615384615385,0.9525641025641028,0.0,0.0,0.0,0.6410256410256411,0.15384615384615385,0.07692307692307693,0.14102564102564102,vanilla_10m_cuda_rung2/final
