spread,nn_mean,nn_min,n_in_disc,n_near,zone_control,ball_d_zone,ball_in_disc,carried,in_flight,carrier_clear,n_offside,max_offside,mean_speed,slow_frac,pass_started,pass_len,tick,seed,policy
16.288383168551853,8.941958976985116,4.3206825352456795,1,0,0.2922213077545166,41.46323371880022,0,1,0,14.358049664419003,0,-8.0355224609375,1.697188902295995,0.7,0,nan,72,10000,c_lagr_075_040/final
16.291420734348968,8.970707225369264,4.316643416591068,1,0,0.3038722276687622,41.391959069700206,0,1,0,14.430619175959023,0,-7.921661376953125,1.7132273860786669,0.6,0,nan,73,10000,c_lagr_075_040/final
16.272263309326956,8.971481310073242,4.279757993494567,1,0,0.3162776231765747,41.26012644774855,0,1,0,14.464958170117201,0,-7.918128967285156,1.7912987650932557,0.7,0,nan,74,10000,c_lagr_075_040/final
16.244923966415246,8.959485293120045,4.285338072997937,1,0,0.3204825818538666,41.07148467648025,0,1,0,14.43673194834829,0,-7.965187072753906,1.5723635686160342,0.6,0,nan,75,10000,c_lagr_075_040/final
16.21153653862796,8.953338859848404,4.30523550458545,1,0,0.3160480260848999,40.88776550454787,0,1,0,14.387878289629668,0,-8.053939819335938,1.6371154850724863,0.9,0,nan,76,10000,c_lagr_075_040/final
16.1758936051606,8.956730392199807,4.27562947669608,1,0,0.3090275824069977,40.75469829619767,0,1,0,14.332664074984745,0,-8.141006469726562,1.738048400380962,0.6,0,nan,77,10000,c_lagr_075_040/final
16.137108649122222,8.950706936723774,4.164271082586245,1,0,0.29172101616859436,40.61969558447111,0,1,0,14.276482915851284,0,-8.1851806640625,1.910040149151111,0.6,0,nan,78,10000,c_lagr_075_040/final
16.107746298988186,8.947905819723758,3.985885836745139,1,0,0.31191107630729675,40.496000831322725,0,1,0,14.237488608686808,0,-8.165390014648438,1.8159667611199197,0.5,0,nan,79,10000,c_lagr_075_040/final
16.09672050959344,8.95754197731446,3.7871353665955163,2,0,0.3303918242454529,40.432749013579006,0,1,0,14.199366704045715,0,-8.075050354003906,1.9493815591423527,0.5,0,nan,80,10000,c_lagr_075_040/final
16.079832830723625,8.950780220278258,3.596729046450603,2,0,0.34115180373191833,40.36465127158018,0,1,0,14.14054073046469,0,-8.003890991210938,1.7842786222852154,0.6,0,nan,81,10000,c_lagr_075_040/final
16.060727017589365,8.924721187099701,3.4587427267124307,2,0,0.3743620812892914,40.24247863551601,0,1,0,14.077495618681358,0,-7.958351135253906,1.6849964421467867,0.8,0,nan,82,10000,c_lagr_075_040/final
16.038367828730916,8.88905380997487,3.359079346276047,3,0,0.3758263885974884,40.08185801427642,0,1,0,14.047602913710683,0,-7.976127624511719,1.7242367023913243,0.9,0,nan,83,10000,c_lagr_075_040/final
16.008374078368256,8.844103571151265,3.291668559058825,3,0,0.3771090507507324,39.87865503006526,0,1,0,14.002387112128455,0,-8.124855041503906,1.3972516296458106,0.7,0,nan,84,10000,c_lagr_075_040/final
15.990153943499966,8.807718209419704,3.242560051974789,3,0,0.36625874042510986,39.67525839435451,0,1,0,13.947974647159706,0,-8.364425659179688,1.2621804630339928,1.0,0,nan,85,10000,c_lagr_075_040/final
15.973905047414107,8.786079664972682,3.203586412117941,3,0,0.35793814063072205,39.46091235098513,0,1,0,13.928933146578533,0,-8.568328857421875,1.246562514160725,0.8,0,nan,86,10000,c_lagr_075_040/final
15.955495670765611,8.7678812612499,3.1860134445561434,3,0,0.3359542191028595,39.21326324486547,0,1,0,13.858882260721302,0,-8.659584045410156,1.1848263250231088,0.8,0,nan,87,10000,c_lagr_075_040/final
15.942723546693887,8.716605912918952,3.1399740278057227,3,0,0.33720478415489197,38.93303578572132,0,1,0,13.686289583361583,0,-8.641456604003906,1.6097892425233886,0.8,0,nan,88,10000,c_lagr_075_040/final
15.934531660645069,8.64499870866468,3.105758116890749,3,0,0.35792145133018494,38.62789427560401,0,1,0,13.533897740923942,0,-8.50689697265625,1.6554466215131622,0.7,0,nan,89,10000,c_lagr_075_040/final
15.930497822676617,8.593124943459209,3.147225756518613,3,0,0.37462475895881653,38.34958292263414,0,1,0,13.455108380402455,0,-8.329483032226562,1.6798992393353227,0.7,0,nan,90,10000,c_lagr_075_040/final
15.921683714526708,8.535001768003443,3.160298653855702,3,0,0.3726958930492401,38.07141958317526,0,1,0,13.446970241193329,0,-8.199142456054688,1.529200561861988,0.7,0,nan,91,10000,c_lagr_075_040/final
15.899997461630061,8.47403053443863,3.1403062122595733,3,0,0.36923250555992126,37.775101517914315,0,1,0,13.462578372203643,0,-8.105171203613281,1.4385007665551437,0.8,0,nan,92,10000,c_lagr_075_040/final
15.87354012001731,8.424649009389483,3.1412305516772565,3,0,0.3800338804721832,37.48697350089906,0,1,0,13.44925985027308,0,-8.051803588867188,1.4162338481823653,0.8,0,nan,93,10000,c_lagr_075_040/final
15.840766789998389,8.376109750182616,3.0878772808546673,3,0,0.38516905903816223,37.198850064878094,0,1,0,13.373468669435887,0,-8.090667724609375,1.470081327369885,0.8,0,nan,94,10000,c_lagr_075_040/final
15.792623305870316,8.301779783149865,2.9735582825745395,3,2,0.39638981223106384,36.9026242679108,0,1,0,13.234663286589438,0,-8.193107604980469,1.7302889728276536,0.8,0,nan,95,10000,c_lagr_075_040/final
15.75253709588996,8.215265033987496,2.889117998979028,3,2,0.3974977433681488,36.60645994180153,0,1,0,13.101257965142738,0,-8.331466674804688,1.5738594277285958,0.7,0,nan,96,10000,c_lagr_075_040/final
15.723883437503648,8.146197178439028,2.844775094283701,3,2,0.3924473822116852,36.31837655901834,0,1,0,13.041249658750719,0,-8.495567321777344,1.3350709029677421,0.8,0,nan,97,10000,c_lagr_075_040/final
